,Movie_name,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description,Decade
0, The Godfather,1972,175,9.2,2100000,100,R,Francis Ford Coppola,Marlon BrandoAl PacinoJames Caan,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1970
1, The Silence of the Lambs,1991,118,8.6,1600000,86,R,Jonathan Demme,Jodie FosterAnthony HopkinsScott Glenn,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1990
2, Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1400000,82,PG,Irvin Kershner,Mark HamillHarrison FordCarrie Fisher,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1980
3, The Shawshank Redemption,1994,142,9.3,3000000,82,R,Frank Darabont,Tim RobbinsMorgan FreemanBob Gunton,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",1990
4, The Shining,1980,146,8.4,1200000,68,R,Stanley Kubrick,Jack NicholsonShelley DuvallDanny Lloyd,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",1980
5, Casablanca,1942,102,8.5,630000,100,PG,Michael Curtiz,Humphrey BogartIngrid BergmanPaul Henreid,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1940
6, One Flew Over the Cuckoo's Nest,1975,133,8.7,1100000,84,R,Milos Forman,Jack NicholsonLouise FletcherMichael Berryman,A newly admitted mental patient helps his docile companions defy the tyrannical head nurse.,1970
7, Raiders of the Lost Ark,1981,115,8.4,1100000,86,PG,Steven Spielberg,Harrison FordKaren AllenPaul Freeman,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",1980
8, The Lord of the Rings: The Return of the King,2003,201,9,2100000,94,PG-13,Peter Jackson,Elijah WoodViggo MortensenIan McKellen,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2000
9, Star Wars: Episode IV - A New Hope,1977,121,8.6,1500000,90,PG,George Lucas,Mark HamillHarrison FordCarrie Fisher,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1970
10, The Dark Knight,2008,152,9,3000000,84,PG-13,Christopher Nolan,Christian BaleHeath LedgerAaron Eckhart,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",2000
11, The Godfather Part II,1974,202,9,1400000,90,R,Francis Ford Coppola,Al PacinoRobert De NiroRobert Duvall,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1970
12, Aliens,1986,137,8.4,807000,84,R,James Cameron,Sigourney WeaverMichael BiehnCarrie Henn,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1980
13, Schindler's List,1993,195,9,1500000,95,R,Steven Spielberg,Liam NeesonRalph FiennesBen Kingsley,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1990
